Abronia latifolia
Abronia umbellata
Acaena pinnatifida
Acer negundo
Achillea millefolium
Achyrachaena mollis
Acmispon americanus
Acmispon brachycarpus
Acmispon glaber
Acmispon heermannii
Acmispon parviflorus
Acmispon strigosus
Acmispon wrangelianus
Actaea rubra
Adiantum jordanii
Aesculus californica
Agoseris apargioides
Agoseris grandiflora
Agoseris heterophylla
Agoseris hirsuta
Agrostis densiflora
Agrostis exarata
Agrostis hallii
Agrostis microphylla
Allium dichlamydeum
Allium unifolium
Alopecurus geniculatus
Amaranthus californicus
Ambrosia chamissonis
Ambrosia psilostachya
Amelanchier pallida
Amelanchier utahensis
Ammannia coccinea
Amsinckia intermedia
Amsinckia lycopsoides
Amsinckia menziesii
Amsinckia spectabilis
Anaphalis margaritacea
Angelica hendersonii
Angelica tomentosa
Anisocarpus madioides
Aphanes occidentalis
Aphyllon californicum
Aphyllon fasciculatum
Aphyllon purpureum
Aphyllon robbinsii
Aphyllon vallicolum
Apiastrum angustifolium
Apocynum androsaemifolium
Aquilegia formosa
Arabis blepharophylla
Arbutus menziesii
Arctostaphylos crustacea
Arctostaphylos crustacea
Arctostaphylos franciscana
Arctostaphylos manzanita
Arctostaphylos manzanita
Arctostaphylos montana
Arctostaphylos pumila
Arctostaphylos sensitiva
Arenaria paludicola
Aristolochia californica
Armeria maritima
Artemisia californica
Artemisia douglasiana
Artemisia pycnocephala
Asarum caudatum
Astragalus gambelianus
Astragalus nuttallii
Astragalus nuttallii
Astragalus tener
Athyrium filix-femina
Athysanus pusillus
Atriplex dioica
Atriplex leucophylla
Azolla filiculoides
Azolla microphylla
Baccharis glutinosa
Baccharis pilularis
Baccharis pilularis
Baccharis salicifolia
Barbarea orthoceras
Berberis pinnata
Berula erecta
Bidens cernua
Bidens laevis
Blennosperma nanum
Bolboschoenus maritimus
Bolboschoenus robustus
Bowlesia incana
Boykinia occidentalis
Brodiaea elegans
Brodiaea terrestris
Bromus arizonicus
Bromus carinatus
Bromus carinatus
Bromus laevipes
Bromus maritimus
Bromus sitchensis
Calamagrostis nutkaensis
Calandrinia menziesii
California macrophylla
Callitriche marginata
Calochortus luteus
Calystegia occidentalis
Calystegia purpurata
Calystegia soldanella
Calystegia subacaulis
Camissonia contorta
Camissonia strigulosa
Camissoniopsis cheiranthifolia
Camissoniopsis hirtella
Camissoniopsis micrantha
Cardamine californica
Cardamine oligosperma
Cardionema ramosissimum
Carex aquatilis
Carex barbarae
Carex bolanderi
Carex brevicaulis
Carex comosa
Carex cusickii
Carex densa
Carex globosa
Carex gracilior
Carex harfordii
Carex nudata
Carex obnupta
Carex pachystachya
Carex pansa
Carex praegracilis
Carex simulata
Carex subbracteata
Carex tumulicola
Carex utriculata
Castilleja affinis
Castilleja ambigua
Castilleja attenuata
Castilleja densiflora
Castilleja exserta
Castilleja exserta
Castilleja foliolosa
Castilleja latifolia
Castilleja miniata
Castilleja subinclusa
Castilleja wightii
Caulanthus lasiophyllus
Ceanothus incanus
Ceanothus oliganthus
Ceanothus thyrsiflorus
Ceanothus xvanrenssaeri
Centromadia pungens
Cerastium arvense
Ceratophyllum demersum
Cercocarpus betuloides
Chenopodium berlandieri
Chenopodium californicum
Chenopodium rubrum
Chlorogalum pomeridianum
Chloropyron maritimum
Chloropyron molle
Chorizanthe cuspidata
Chorizanthe pungens
Chorizanthe robusta
Cicendia quadrangularis
Cicuta douglasii
Cirsium andrewsii
Cirsium brevistylum
Cirsium hydrophylum
Cirsium occidentale
Cirsium occidentale
Cirsium occidentale
Cirsium quercetorum
Cirsium remotifolium
Clarkia amoena
Clarkia davyi
Clarkia franciscana
Clarkia purpurea
Clarkia purpurea
Clarkia purpurea
Clarkia purpurea
Clarkia rubicunda
Claytonia exigua
Claytonia parviflora
Claytonia perfoliata
Claytonia perfoliata
Claytonia sibirica
Clinopodium douglasii
Collinsia bartsiifolia
Collinsia bartsiifolia
Collinsia corymbosa
Collinsia heterophylla
Collinsia multicolor
Collinsia sparsifolia
Collinsia tinctoria
Collomia grandiflora
Collomia heterophylla
Conioselinum pacificum
Corallorhiza striata
Corethrogyne filaginifolia
Cornus nuttallii
Cornus sericea
Cornus sericea
Corylus cornuta
Crassula aquatica
Crassula connata
Croton californicus
Croton setiger
Cryptantha clevelandii
Cryptantha flaccida
Cryptantha leiocarpa
Cuscuta californica
Cuscuta occidentalis
Cuscuta pacifica
Cynoglossum grande
Cyperus eragrostis
Cyperus niger
Cypripedium californicum
Cypripedium montanum
Danthonia californica
Daucus pusillus
Deinandra corymbosa
Deinandra kelloggii
Delphinium californicum
Delphinium decorum
Delphinium hesperium
Delphinium nudicaule
Deschampsia cespitosa
Deschampsia cespitosa
Deschampsia danthonioides
Deschampsia elongata
Dichondra donelliana
Diplacus aurantiacus
Dipterostemon capitatus
Distichlis spicata
Drymocallis glandulosa
Drymocallis glandulosa
Dryopteris arguta
Dudleya caespitosa
Dudleya cymosa
Dudleya farinosa
Echinodorus berteroi
Ehrendorferia chrysantha
Elatine brachysperma
Elatine heterandra
Eleocharis acicularis
Eleocharis bella
Eleocharis macrostachya
Eleocharis palustris
Eleocharis radicans
Eleocharis rostellata
Elodea canadensis
Elymus condensatus
Elymus elymoides
Elymus glaucus
Elymus glaucus
Elymus mollis
Elymus multisetus
Elymus pacificus
Elymus triticoides
Elymus xgouldii
